2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '50', '90', '0', '36'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '30', '0', '35'] EOF
2018-11-03 01:45:25 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '60', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '50', '0', '36'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '10', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '80', '0', '36'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '60', '70', '0', '43'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '70', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '90', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '10', '0', '37'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '70', '0', '35'] EOF
2018-11-03 01:45:26 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '50', '0', '37'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '48', '90', '0', '34'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '56', '20', '0', '40'] EOF
2018-11-03 01:45:27 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '46', '90', '0', '33'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '52', '20', '0', '37'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '49', '70', '0', '35'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '51', '30', '0', '36'] EOF
2018-11-03 02:06:55 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '329', '60', '00', '289', '7', '04', '53', '30', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '43', '60', '0', '34'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '48', '20', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '0', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '46', '90', '0', '37'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '84', '48', '20', '0', '38'] EOF
2018-11-03 02:08:39 starT starD xPosition:  yPosition:  dataBaseRudder:  dataBaseSail:  ['30', '120', '314', '60', '00', '274', '7', '85', '48', '10', '0', '38'] EOF
